id,title,context,question,answers
197,Scope 3Carbon Emissions,"The Scope 3Carbon Emissions is 419.2756928.Ultimately, the aviation industry has a responsibility to address scope 3 emissions and contribute to global efforts to combat climate change. By taking action to reduce their carbon footprint, airlines can not only improve their sustainability, but also support the transition to a more sustainable future for air travel and the planet.",What is the Scope 3Carbon Emissions for WIZZ AIR?,"{'answer_start': [31], 'text': ['419.2756928']}"
198,How does the airline ensure that its suppliers respect human rights?,"Delta Air Lines has implemented a supplier code of conduct that sets out the airline's expectations for its suppliers regarding human rights, labor standards, and environmental sustainability. The code of conduct requires suppliers to comply with all applicable laws and regulations and to respect the human rights of their workers. Delta Air Lines works with its suppliers to improve their sustainability practices and conducts regular audits to ensure compliance with the code of conduct. The airline also requires its suppliers to report on their sustainability performance.",Human Rights,"{'answer_start': [-1], 'text': ['Through a supplier code of conduct']}"
199,Fleet fuel-efficiency,"Delta Air Lines has committed to having 50% of its fleet be fuel-efficient by 2025. Fuel-efficient aircraft are designed to reduce greenhouse gas emissions and lower fuel costs. To achieve this goal, Delta is investing in new technologies such as electric and hybrid aircraft, as well as utilizing fuel-efficient aircraft like the Airbus A220 and A321neo. Additionally, Delta is retrofitting older aircraft with winglets and other upgrades to improve fuel efficiency.",What percentage of an airline's fleet is fuel-efficient?,"{'answer_start': [-1], 'text': ['0.5']}"
200,What percentage of the airline's energy comes from renewable sources?,"Hawaiian Airlines sources approximately 4.4% of its energy from renewable sources, primarily solar and wind power. The airline has installed solar arrays at its airports and has partnered with a wind farm to offset its energy use. Hawaiian Airlines has a goal to reduce its greenhouse gas emissions by 30% by 2030 and has implemented various sustainability measures to achieve this goal, such as the use of fuel-efficient aircraft and sustainable aviation fuel.",Renewable Energy,"{'answer_start': [-1], 'text': ['0.044']}"
201,What is the airline's carbon emissions per passenger?,"Delta Air Lines reported a carbon footprint of 60.7 million metric tons in 2019, which includes emissions from aircraft, ground vehicles, and facilities. The airline has set a goal to become carbon neutral by 2030 and has implemented measures like reducing weight on flights and improving fuel efficiency. Delta's carbon emissions per passenger in 2019 was 56.2 kg, a 4.1% reduction from the previous year.",Carbon Emissions,"{'answer_start': [357], 'text': ['56.2 kg']}"
202,SGD Revenue,"Customer satisfaction is also an important factor that can impact SGD revenue for airlines. Happy customers are more likely to book future flights and recommend the airline to others, which can lead to increased revenue and profitability. Airlines must invest in high-quality customer service, comfortable seating, and a range of amenities in order to ensure customer satisfaction and loyalty.SGD Revenue is 100 %.",what is the SGD Revenue % for UNITED CONTINENTAL HOLDINGS INC?,"{'answer_start': [408], 'text': ['100']}"
203,REV PASS MILES,"The REV PASS MILES is 165.0281706.One of the key benefits of Rev Pass miles is that they can help passengers save money on future travel. By earning miles through frequent travel or credit card spending, passengers can earn rewards that can be used towards future flights, upgrades, or other travel expenses.",What is the rev pass miles for ALLEGIANT?,"{'answer_start': [22], 'text': ['165.0281706']}"
204,Nitrogen Oxides emissions,"In 2021, 158.5 tons of Nitrogen Oxides emissions have been generated in Delta.",How many tons of Nitrogen Oxides emissions have been generated in 2021?,"{'answer_start': [9], 'text': ['158.5']}"
205,giving,"As a purpose-driven company, giving back to our communities 
has been core to Delta and our culture for nearly 100 years, 
demonstrated by the thousands of volunteer hours and 
$36 million in charitable contributions from Delta and 
The Delta Air Lines Foundation in 2021.",how much is (was) global giving?,"{'answer_start': [-1], 'text': ['$36 million in charitable contributions from Delta and The Delta Air Lines Foundation in 2021']}"
206,controversy total count,"The controversy total count was 0.000626339.In the event of a controversy, airlines must respond quickly and effectively to address the issue and minimize its impact. This may involve implementing new policies and procedures, conducting an investigation, or making public statements to reassure customers and stakeholders.",what was the controversy total count for HAWAIIAN AIRLINES INC? ,"{'answer_start': [32], 'text': ['0.000626339']}"
207,modern slavery score,"The modern slavery score is 8. Airlines must also consider the potential for modern slavery risks in their recruitment and employment practices. For example, migrant workers may be vulnerable to exploitation and abuse, particularly if they are in debt bondage or have limited access to legal protections. Airlines must ensure that their employment practices are fair, transparent, and in compliance with international labor standards.",what is the modern slavery score for SOUTHWEST AIRLINES CO?,"{'answer_start': [28], 'text': ['8']}"
208,SGD Revenue,"SGD Revenue is 96 %. Finally, government policies and economic conditions can also impact SGD revenue for airlines. For example, changes to tax policies or the regulatory environment can impact airline profitability, as can changes in economic conditions such as a recession or an economic boom. Airlines must be able to adapt to changing conditions and respond to new challenges in order to succeed in this dynamic industry.",what is the SGD Revenue % for SINGAPORE AIRLINES LTD?,"{'answer_start': [15], 'text': ['96']}"
209,repatriation flights,"During FY22, Qantas operated over 220 repatriation flights on behalf of the Australian Government to bring Australians home and re-unite families. Qantas developed targeted networks to repatriate Australians from Buenos Aires, Chennai, Delhi, Denpasar, Frankfurt, Istanbul, Johannesburg, London, Los Angeles and Vancouver.",How many repatriation flights did Qantas operate in FY22?,"{'answer_start': [0], 'text': ['During FY22, Qantas operated over 220 repatriation flights on behalf of the Australian Government to bring Australians home and re-unite families.']}"
210,Aviation Safety Action Program,"Key governance structures include:
• quarterly meetings of the Board Safety, Environment and Corporate Responsibility (SECR) Committee to provide dedicated oversight of the Group’s sustainability programme and a link between the IAG and operating company management committees and the IAG Board;
• quarterly meetings of the Sustainability Steering Group (SSG), comprised of senior representatives from each operating company and key IAG teams, to provide oversight of environmental and social initiatives and reporting;
• monthly meetings of the IAG Sustainability Network, comprised of sustainability representatives from all operating companies, to share ideas and updates;
• regular meetings of the SAF Steering Group and People Working Group reporting into the SSG; and
• as part of the Group-wide Enterprise Risk Management (ERM) process, bi-annual reporting of the principal sustainable aviation risks to the IAG Management Committee and Board’s Audit and Compliance Committee.",how much is (was) aviation safety action?,"{'answer_start': [-1], 'text': ['Key governance structures include:\n•  quarterly meetings of the Board Safety, Environment and Corporate Responsibility (SECR) Committee to provide dedicated oversight of the Group’s sustainability programme and a link between the IAG and operating company management committees and the IAG Board']}"
211,Aviation Safety Action Program,"With data from onboard flight recorders, air carriers can also analyze actual aircraft data to monitor trends, flap or gear over-speed events, overweight events, etc. This program, called FOQA (flight operational quality assurance) at some airlines, complements the ASAP program. It gives the airline another method of finding and fixing problems before they occur, and, more importantly, before an accident occurs.",how much is (was) aviation safety action?,"{'answer_start': [-1], 'text': ['No answer exists']}"
212,SGD Revenue,"SGD Revenue is 100 %. Overall, SGD revenue is an important metric for airlines operating in Singapore, with a range of factors impacting revenue generation and profitability in the industry. Effective revenue management and cost management strategies are critical for airlines to succeed in this highly competitive market.",what is the SGD Revenue % for JETBLUE AIRWAYS CORP?,"{'answer_start': [15], 'text': ['100']}"
213,sustainable biofuels,"According to a 2020 report by the International Air Transport Association (IATA), only 5% of US airlines currently use sustainable aviation fuels (SAFs). SAFs are a type of biofuel made from renewable sources, such as used cooking oil and agricultural waste. They are seen as a potential solution to reduce the aviation industry's carbon footprint. However, the high cost and limited availability of SAFs has been a barrier to their widespread adoption.",What percentage of airlines in the US use sustainable biofuels?,"{'answer_start': [-1], 'text': ['0.05']}"
214,Water Reduction,"JetBlue has set a goal of reducing its water consumption by 1% per year, through initiatives such as low-flow faucets and water-efficient landscaping at its facilities. The airline has also implemented several measures to reduce its greenhouse gas emissions, such as investing in more fuel-efficient planes and using sustainable aviation fuel. In addition to its environmental initiatives, JetBlue has implemented several social responsibility initiatives, such as supporting education and youth development programs in the communities it serves.",What is an airline's water consumption reduction target?,"{'answer_start': [60], 'text': ['1% per year']}"
215,CO2 saved,"6,506 tonnes of CO2 saved due to SAF use in 2021 and a pipeline of projects in support of our 2030 SAF target. The airline industry has made significant strides in reducing its carbon footprint in recent years, with many airlines implementing various measures to reduce their CO2 emissions. These efforts have led to significant reductions in the amount of CO2 emitted by airplanes each year.",How much was CO2 saved in 2021?,"{'answer_start': [0], 'text': ['6,506 tonnes of CO2 saved due to SAF use in 2021 and a pipeline of projects in support of our 2030 SAF target.']}"
216,Scope 1+2 Carbon Emissions,"The Scope 1+2 Carbon Emissions is 1080.7.As the aviation industry continues to grow, it is likely that carbon emissions from airlines will continue to be a significant environmental issue. However, with ongoing innovation and a commitment to sustainability, the industry can work towards reducing its impact on the environment.",What is the Scope 1+2 Carbon Emissions for SPIRIT AIRLINES?,"{'answer_start': [34], 'text': ['1080.7']}"
217,Sustainable fuel,"Southwest Airlines, a major US airline, announced that it would purchase sustainable aviation fuel (SAF) from Red Rock Biofuels. The airline aims to use the SAF for 15% of its total fuel supply in California starting in 2022. The move is part of Southwest's larger commitment to sustainability, which includes reducing greenhouse gas emissions and investing in renewable energy sources.",What percentage of the airline's fleet uses sustainable fuel?,"{'answer_start': [-1], 'text': ['0.15']}"
218,Employee volunteer hours,"The Material is from table. Thus, the context is same from answer. In 2021, the employee volunteer hours are  21,460. For other year, it employee volunteer hours are  17,336 in 2020, 41000 in 2019, and 44000 in 2018",How many employee volunteer hours,"{'answer_start': [67], 'text': ['In 2021, the employee volunteer hours are  21,460. For other year, it employee volunteer hours are  17,336 in 2020, 41000 in 2019, and 44000 in 2018']}"
219,Sustainable,"In 2021, United Airlines announced that it had reached a milestone of operating 3.3% of its mainline flying using sustainable aviation fuel, with a goal to increase to 100% by 2050. The airline has invested in several sustainable fuel projects, including a partnership with Fulcrum BioEnergy to produce fuel from municipal waste, and plans to purchase 1.5 billion gallons of sustainable fuel over the next 20 years. United has also committed to carbon neutrality for its global corporate operations by 2050.",What percentage of an airline's fleet uses sustainable fuel?,"{'answer_start': [-1], 'text': ['0.033']}"
220,REV PASS MILES,"The REV PASS MILES is 108.5396562. Despite these challenges, Rev Pass miles continue to be a popular tool for airlines and passengers alike. By offering rewards and incentives, airlines can build loyalty, generate revenue, and differentiate themselves in a crowded marketplace.",What is the rev pass miles for RYANAIR?,"{'answer_start': [22], 'text': ['108.5396562']}"
221,aviation accidents,"There are 3 flights with aviation accidents out of 1,442,421 flights (mainline and carriers); And 0 serious customer injuries in 2021. In 1988, a bomb planted by terrorists exploded on board Pan Am Flight 103 over Lockerbie, Scotland, killing all 259 passengers and crew on board, as well as 11 people on the ground. The incident remains the deadliest act of terrorism against American citizens in history.",how much is (was) aviation accidents?,"{'answer_start': [0], 'text': ['There are 3 flights with aviation accidents out of 1,442,421 flights (mainline and carriers); And 0 serious customer injuries in 2021.']}"
222,What is the airline's policy on transporting animals?,"Alaska Airlines has a commitment to animal welfare and has implemented strict policies and guidelines for transporting animals. The airline works closely with animal welfare organizations and veterinary experts to ensure the safe and humane transport of animals. Alaska Airlines prohibits the transport of certain animals, such as primates and certain dog breeds, and has strict guidelines for the transport of other animals, such as temperature and crate size requirements. The airline's employees receive specialized training on animal handling and care, and the airline has been recognized for its animal welfare policies by various organizations, including the Humane Society of the United States.",Animal Welfare,"{'answer_start': [-1], 'text': ['Strict animal welfare policies and guidelines']}"
223,Aviation Safety Action Program,"No. of incidents of non-compliance with regulations and/or voluntary code concerning health 
and safety impacts of our products and services: 0",how much is (was) aviation safety action in 2020?,"{'answer_start': [142], 'text': ['0']}"
224,Does the airline offer carbon offsetting to its customers?,"United Airlines offers carbon offsetting to its customers through various programs, including the Eco-Skies carbon offset program and the ability to purchase sustainable aviation fuel. The airline also partners with organizations such as Conservation International to invest in sustainable forestry and reforestation projects to offset carbon emissions. United Airlines has a goal to reduce its greenhouse gas emissions by 100% by 2050 and has been recognized for its sustainability efforts by various organizations, including the Dow Jones Sustainability Index.",Carbon Offsetting,"{'answer_start': [-1], 'text': ['Yes, through various programs']}"
225,giving,301566 euros were collected for charitable causes via the on-board collection program,how much is (was) global giving?,"{'answer_start': [-1], 'text': ['301566 euros collected on board']}"
226,Scope 1+2 Carbon Emissions,"The Scope 1+2 Carbon Emissions is 979.8.It is also important to recognize that reducing carbon emissions from airlines will require a global effort. As air travel is a global industry, it is important for governments, airlines, and other stakeholders to work together to find solutions that work for everyone.",What is the Scope 1+2 Carbon Emissions for Qantas?,"{'answer_start': [34], 'text': ['979.8']}"
227,giving,"The solution is from table, the global giving is $10.6 million",how much is (was) global giving?,"{'answer_start': [49], 'text': ['$10.6 million']}"
228,modern slavery score,"Some airlines have taken steps to address modern slavery risks in their supply chains. For example, British Airways has implemented a comprehensive modern slavery policy that includes risk assessments, supplier audits, and training for employees and suppliers.The modern slavery score is 10. ",what is the modern slavery score for GRUPO AEROMEXICO SAB DE CV?,"{'answer_start': [288], 'text': ['10']}"
229,Fines Amount,"$303,000 will be credited to Spririt towards the carrier’s expended costs of acquiring, operating, and maintaining a surface management and surveillance system at Charlotte and Dallas-Fort Worth to monitor the location of each aircraft on the airfield.The fines amount was 0.000385465. ",what is the fines amount for Spirit Airlines?,"{'answer_start': [273], 'text': ['0.000385465']}"
230,Passenger Waste,"In 2019, Delta Air Lines reported a passenger waste production rate of 0.26 pounds per passenger. The airline has set a goal of reducing its single-use plastic usage by 50% by 2025. Delta has implemented several measures to reduce its waste, such as eliminating plastic straws and stirrers on board and using compostable dishes and utensils. Additionally, the airline has partnered with a food recovery organization to donate unused food from its flights. Delta has set a goal of achieving carbon neutrality for its global operations by 2030.",What is an airline's passenger waste production rate?,"{'answer_start': [71], 'text': ['0.26 pounds per passenger']}"
231,male/female employees,"In 2021, the employees at Delta are 41% female and 59% male.",What is the percentage of male employees and female employees?,"{'answer_start': [36], 'text': ['41% female and 59% male']}"
232,giving,"As part of their commitment to corporate social responsibility, Alaska Airlines engaged in in-kind giving, which amounted to 1.87% of their total revenue. This percentage reflects the airline's dedication to giving back to the community and supporting important causes. By prioritizing in-kind giving, Alaska Airlines demonstrates a commitment to creating positive social and environmental outcomes beyond their core business operations.",how much is (was) global giving percent of net income in 2017?,"{'answer_start': [125], 'text': ['1.87%']}"
233,aviation accidents,"Number of aviation accidents: 4 per 1,138,768 flights",how much is (was) aviation accidents in 2019?,"{'answer_start': [30], 'text': ['4']}"
234,giving,"By the numbers in 2009: 14,968 donation requests received, 25,663 tickets donated, $1,266,950 total monetary donations, $11,652,475 total value of monetary and ticket donations, 45,000+ employee volunteer hours",how much is (was) global giving?,"{'answer_start': [83], 'text': ['$1,266,950 ']}"
235,male/female employees,"There are 47,152 women employed, making up 44.8% of the workforce. There were 58,138 men employed, making up 55.2% of the workforce.",What is the percentage of male employees?,"{'answer_start': [-1], 'text': ['55.20%']}"
236,aircraft certified / Chapter 5 noise limits,"In FY22, 100% of Ryanair aircraft complied with ICAO 10-decible criterion. The introduction of 73 new Boeing 737- 8200’s ahead of peak summer 2022 will maintain this high standard with operational noise emissions reductions by up to 40% compared to the Boeing 737-800NG",how much is (was) Percent of chapter 5 noise limits?,"{'answer_start': [0], 'text': ['In FY22, 100% of Ryanair aircraft complied with ICAO 10-decible criterion']}"
237,Waste Reduction,"Hawaiian Airlines has set a goal of reducing its landfill waste by 50% by 2025, through initiatives such as recycling, composting, and reducing the use of single-use plastics. The airline has also implemented several measures to reduce its greenhouse gas emissions, such as investing in more fuel-efficient planes and using sustainable aviation fuel. In addition to its environmental initiatives, Hawaiian has implemented several social responsibility initiatives, such as supporting education and cultural programs in the communities it serves.",What is an airline's waste reduction target?,"{'answer_start': [67], 'text': ['50% by 2025']}"
238,Aviation Safety Action Program,"To stay ahead of potential safety issues, we have developed a formal process for analyzing, assessing, and mitigating safety risks. Through this Safety Risk Management (SRM) process, we evaluate the probability and severity of adverse safety outcomes and determine the resources needed to prevent or mitigate them. This has led to the creation of our best in class safety programs (listed below) including our Safety from the Ground Up program.",how much is (was) aviation safety action?,"{'answer_start': [-1], 'text': ['No answer exists']}"
239,SGD Revenue,"SGD Revenue is 100 %.Economic conditions can also impact airline revenue, with downturns in the economy leading to decreased demand for air travel. The COVID-19 pandemic, for example, has had a significant impact on the airline industry globally, with many airlines experiencing significant revenue declines as a result of travel restrictions and decreased demand for air travel.",what is the SGD Revenue % for HAWAIIAN AIRLINES INC?,"{'answer_start': [15], 'text': ['100']}"
240, GSAP reports,"Our GSAP for Fleet Service and Cargo teams plays the same role, encouraging team members to report potential safety issues in cargo and catering environments, control centers and on the ramp. This program was created in collaboration with the Transport Workers Union of America–International Association of Machinists & Aerospace Workers and the FAA. In 2021, we recorded 487 GSAP reports.",How many GSAP report were recorded?,"{'answer_start': [372], 'text': ['487']}"
241,giving,We contributed more than $36.9 million to non-profit organizations in 2010 through in-kind contributions.,how much is (was) global giving?,"{'answer_start': [25], 'text': ['$36.9 million']}"
242,modern slavery score,The modern slavery score is 10. A higher modern slavery score indicates that an airline is taking proactive steps to address modern slavery risks and has effective systems in place to prevent and eliminate this form of exploitation from its supply chain.,what is the modern slavery score for AIR CANADA?,"{'answer_start': [28], 'text': ['10']}"
243,How many of the airline's facilities are LEED certified?,"JetBlue Airways has achieved Leadership in Energy and Environmental Design (LEED) certification for 23 of its facilities, including its corporate headquarters, airports, and training centers. The airline has implemented various sustainability measures in its infrastructure, such as the use of green buildings and energy-efficient features. JetBlue Airways has a goal to reduce its greenhouse gas emissions by 20% by 2025 and has been recognized for its sustainability efforts by various organizations, including the Carbon Disclosure Project.",LEED Certification,"{'answer_start': [100], 'text': ['23']}"
244,"carbon offset program, percentage","Many airlines in the United States have implemented carbon offset programs for their passengers, allowing them to offset the carbon emissions of their flights by purchasing carbon credits. According to a study by the Natural Resources Defense Council, approximately 80% of U.S. airlines offer some form of carbon offset program to their customers.",What percentage of airlines in the United States have implemented a carbon offset program for their passengers?,"{'answer_start': [-1], 'text': ['0.8']}"
245,Fines Amount,We will continue to take enforcement action as necessary to ensure passengers are not kept delayed on the tarmac for lengthy periods of time.The fines amount was 8.09E-05. ,what is the fines amount for Air Canada?,"{'answer_start': [162], 'text': ['8.09E-05']}"
246,Spills,"86 combined Class I and Class II 
spills",how much is (was) Spills recorded in 2018?,"{'answer_start': [0], 'text': ['86']}"
247,Labor rights,"Delta Air Lines is committed to protecting labor rights in its operations and supply chain. The airline has a Supplier Code of Conduct that requires suppliers to uphold labor standards, such as prohibiting forced labor and child labor. As of 2021, 100% of Delta Air Lines' suppliers have signed the code of conduct. Additionally, the airline has implemented initiatives to support its employees, such as offering competitive wages and benefits, and providing opportunities for career growth and development. Delta Air Lines also has a unionized workforce and maintains positive relationships with its labor unions.",How does an airline address labor rights?,"{'answer_start': [-1], 'text': ['100% of suppliers have signed code of conduct']}"
248,What percentage of fuel used by the airline is sustainable?,"United Airlines plans to reduce greenhouse gas emissions by 100% by 2050, and it aims to achieve this through a combination of fuel-efficient aircraft, sustainable aviation fuels (SAF), and carbon capture technology. SAF is a type of biofuel made from renewable sources like agricultural waste, which can reduce emissions by up to 80% compared to traditional jet fuel. Currently, United Airlines uses SAF for 7% of its total fuel consumption, and it aims to increase this to 30% by 2030.",Sustainable Fuel,"{'answer_start': [-1], 'text': ['0.07']}"
249,SGD Revenue,AMERICAN Airlines Group on Thursday (Jul 21) posted its first quarterly profit without US government aid since the Covid-19 pandemic began as strong summer travel demand generated the highest quarterly revenue in its history. SGD Revenue is 100 %.,what is the SGD Revenue % for AMERICAN AIRLINES? ,"{'answer_start': [241], 'text': ['100']}"
250,Scope 1+2 Carbon Emissions,"The Scope 1+2 Carbon Emissions is 1037.7.The International Civil Aviation Organization (ICAO) has developed a Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA), which requires airlines to offset their carbon emissions above 2020 levels. While this program has faced criticism for being too weak, it represents an important step towards reducing carbon emissions from the aviation industry.",What is the Scope 1+2 Carbon Emissions for SOUTHWEST AIRLINES?,"{'answer_start': [34], 'text': ['1037.7']}"
251,modern slavery score,"Companies that perform poorly on the modern slavery score may face reputational risks that can impact their bottom line. For example, in 2019, Hong Kong airline Cathay Pacific faced backlash and boycotts after reports surfaced of its pilots and cabin crew being forced to sign a loyalty pledge to China.The modern slavery score is 8. ",what is the modern slavery score for INTERNATIONAL CONSOLIDATED AIRLINES GROUP?,"{'answer_start': [331], 'text': ['8']}"
252,Renewable energy,"United Airlines announced that it would invest $1 billion in renewable aviation fuel and other measures to reduce greenhouse gas emissions. The airline aims to achieve net-zero emissions by 2050. United has already invested in several renewable energy projects, including a solar farm in Texas and a project that converts waste into aviation fuel. The airline plans to work with technology companies and other partners to accelerate the development of sustainable aviation fuels and other technologies.",How much has the airline invested in renewable energy sources?,"{'answer_start': [47], 'text': ['$1 billion']}"
253,Spills,"there were 2 spills recorded. Spills can occur in the aviation industry due to a variety of factors, including human error, equipment malfunctions, and adverse weather conditions. Spills can pose a significant risk to the environment and public health, as well as causing financial losses for airlines.",how much is (was) Spills recorded in 2018?,"{'answer_start': [11], 'text': ['2']}"
254,modern slavery score,"The International Labour Organization estimates that forced labor generates over $150 billion in illegal profits each year, highlighting the urgent need for companies to take action to prevent and eliminate modern slavery in their supply chains.The modern slavery score is 8. ",what is the modern slavery score for KOREAN AIR LINES CO LTD?,"{'answer_start': [273], 'text': ['8']}"
255,What is the airline's approach to employee development and training?,"Southwest Airlines believes in investing in its employees and has implemented a comprehensive employee development and training program. The airline provides continuous learning and development opportunities to employees at all levels, including leadership development programs, job-specific training, and personal and professional development courses. Southwest Airlines also offers tuition reimbursement and career development resources to support employees in their career advancement. The airline's emphasis on employee development and training has been recognized by various organizations, including Training Magazine and Fortune.",Human Capital Management,"{'answer_start': [-1], 'text': ['Emphasis on continuous learning and development opportunities']}"
256,Total operating revenue,"The Material is from table. Thus, the context is same from answer. The total operation revenue in 2021 is 29,882. It is 17,337 in 2020, and 45,768 in 2019", What is total operation revenue?,"{'answer_start': [67], 'text': ['The total operation revenue in 2021 is 29,882. It is 17,337 in 2020, and 45,768 in 2019']}"
257,SGD Revenue,"Another factor that can impact SGD revenue for airlines is the level of demand for air travel in Singapore. The city-state has a relatively small population compared to other major cities in the region, which means that airlines must rely on attracting passengers from outside of Singapore in order to generate revenue. This can make it challenging for airlines to balance the need for competitive pricing with the need for profitability.SGD Revenue is 75%.",what is the SGD Revenue % for DEUTSCHE LUFTHANSA AG?,"{'answer_start': [453], 'text': ['75']}"
258,What percentage of the airline's suppliers meet the airline's sustainability requirements?,"Hawaiian Airlines has implemented a sustainable supply chain program to ensure that its suppliers meet its environmental, social, and governance (ESG) standards. The airline works with suppliers to reduce their carbon footprint and improve their sustainability practices. In 2020, 90% of Hawaiian Airlines' suppliers met the airline's sustainability requirements, and the airline aims to increase this to 100% by 2025.",Supply Chain,"{'answer_start': [-1], 'text': ['0.9']}"
259,SGD Revenue,"Airlines are also facing higher fuel costs, but a decline in global prices is expected to offer some relief. Avinca group expects its fuel cost in the current quarter to be down 7 per cent from the June quarter. SGD Revenue is 0 %.",what is the SGD Revenue % for AVIANCA GROUP INTERNATIONAL LTD?,"{'answer_start': [227], 'text': ['0']}"
260,employee count,"In 2021, there were over 17,000 employees of 66 nationalities.",How many employees were there in 2021?,"{'answer_start': [25], 'text': ['17,000']}"
261,supply chian extension,"Our DEI commitment extends to our supply chain. In 2021, we spent $291 million with approximately 215 certified diverse suppliers (Tiers 1 and 2) and $318 million with 1,500+ small business suppliers",how the business extend its supply chain？,"{'answer_start': [57], 'text': ['we spent $291 million with approximately 215 certified diverse suppliers (Tiers 1 and 2) and $318 million with 1,500+ small business suppliers']}"
262,Scope 3Carbon Emissions,"The Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA), developed by the International Civil Aviation Organization (ICAO), requires airlines to offset their scope 3 emissions above 2020 levels. While this program has faced criticism for being too weak, it represents an important step towards addressing scope 3 emissions from the aviation industry.The Scope 3Carbon Emissions is 145.9443242.",What is the Scope 3Carbon Emissions for AZUL?,"{'answer_start': [404], 'text': ['145.9443242']}"
263,SGD Revenue,"SGD Revenue is 100 %.Revenue is a critical metric for airlines, and the Singapore dollar (SGD) is an important currency for the industry. Airlines generate revenue in a variety of ways, including ticket sales, cargo transport, and ancillary services.

",what is the SGD Revenue % for CATHAY PACIFIC AIRWAYS LTD?,"{'answer_start': [15], 'text': ['100']}"
264,giving,"In 2011, the HelpAlliance supported 45 projects with a total amount of 1.5 million euros.",how much is (was) global giving?,"{'answer_start': [71], 'text': ['1.5 million euros']}"
265,aviation accidents,Number of aviation accidents: 0,how much is (was) aviation accidents in 2020?,"{'answer_start': [30], 'text': ['0']}"
266,giving,"2011 by the numbers: 17,057 donation requests recieved, 40,807 tickets donated, 1,817,077 USD total monetary donations, 18,238,850 USD total value of monetary, in-kind and ticket donations, 144,000+ employee volunteer hours",how much is (was) global giving?,"{'answer_start': [-1], 'text': ['1,814,077']}"
267,modern slavery score,"The modern slavery score is 8. In conclusion, the modern slavery score is an important metric for airlines to measure and improve their ethical performance in global supply chains. By taking a proactive and collaborative approach, airlines can help to prevent and address modern slavery risks and create a more ethical and sustainable aviation industry.",what is the modern slavery score for WIZZ AIR HOLDINGS PLC?,"{'answer_start': [28], 'text': ['8']}"
268,REV PASS MILES,"As the airline industry continues to evolve, it is likely that Rev Pass miles and other loyalty programs will continue to play an important role in shaping passenger behavior and driving revenue for airlines. By staying competitive and offering attractive rewards and benefits, airlines can continue to attract and retain loyal customers for years to come.The REV PASS MILES is 789.4111157.",What is the rev pass miles for SINGAPORE AIRLINES?,"{'answer_start': [378], 'text': ['789.4111157']}"
269,controversy total count,"Airlines have long been a subject of controversy, with a range of issues sparking debate and controversy in the industry. Some of the most significant controversies that airlines have faced include safety concerns, labor disputes, passenger mistreatment, and environmental impact.The controversy total count was 0.022862571",what was the controversy total count for SOUTHWEST AIRLINES CO? ,"{'answer_start': [312], 'text': ['0.022862571']}"
270,What community outreach programs does the airline participate in?,"Delta Air Lines is committed to making a positive impact in the communities it serves and has implemented various community outreach programs. The airline supports local nonprofits through its Delta Air Lines Foundation, which provides grants and volunteers to support education, health, and wellness programs. Delta Air Lines also partners with disaster relief organizations to provide aid and support to communities affected by natural disasters. The airline's employees are encouraged to participate in volunteer activities and community service projects.",Community Engagement,"{'answer_start': [-1], 'text': ['Support for local nonprofits and disaster relief efforts']}"
271,giving,"Total corporate monetary, in-kind, and ticket donations is more than $25 million",how much is (was) global giving?,"{'answer_start': [59], 'text': ['more than $25 million']}"
272,How much waste does the airline recycle?,"American Airlines has implemented a comprehensive waste reduction program that includes recycling, composting, and reducing single-use plastics. The airline has set a goal to divert 75% of its inflight waste from landfills by 2025. In 2020, American Airlines recycled 30 million pounds of materials, including aluminum, plastic, and paper. The airline also uses eco-friendly materials like biodegradable cutlery and napkins made from recycled materials.",Waste Reduction,"{'answer_start': [268], 'text': ['30 million pounds']}"
273,SGD Revenue,"One area of cost management that has become increasingly important in recent years is sustainability. Airlines are under pressure to reduce their carbon footprint and adopt more sustainable practices, which can impact their costs and revenue streams. For example, investing in more fuel-efficient planes or implementing carbon offsetting programs can increase costs but may also attract environmentally conscious customers and generate positive publicity.SGD Revenue is 100 %.",what is the SGD Revenue % for RYANAIR HOLDINGS PLC?,"{'answer_start': [470], 'text': ['100']}"
274,modern slavery score,"The modern slavery score is 5. Airlines can learn from best practices in other industries to improve their modern slavery score. For example, the apparel industry has made significant progress in addressing modern slavery risks in their supply chains through initiatives such as the Better Cotton Initiative and the Responsible Wool Standard.",what is the modern slavery score for Qantas (+ Longreach/Dash)?,"{'answer_start': [28], 'text': ['5']}"
275,Scope 3Carbon Emissions,"Scope 3 carbon emissions refer to indirect emissions that occur as a result of an organization's activities, but that are outside of their control or ownership. For airlines, scope 3 emissions can include emissions from fuel production, aircraft manufacturing, and passenger transportation to and from the airport.The Scope 3Carbon Emissions is 323.7400442.",What is the Scope 3Carbon Emissions for AMERICAN AIRLINES?,"{'answer_start': [345], 'text': ['323.7400442']}"
276,injury rate,"In 2021, the total recordable injury rate in Delta is 3.83.",What is the recorded injury rate in 2021?,"{'answer_start': [54], 'text': ['3.83']}"
